;DamageScenario;Date;MATFileName;BLKName;PitchMean;PitchStd;PitchMax;PitchMin;ZrCr1;ZrCr2;RPM_DC1;RPM_DC2;RPM;DC1_az;DC2_az;AzPhase;Wind;WindDirection;Temperature;Precipitation;Generator;Power;Yaw;RPM_Class
1256;undamaged;03/12/14 00:24;Run5_1257..mat;V27HOJTEK_20141203_0020.blk;35.52506197;0.670932158;36.03964401;34.19962589;1;1;0.0;0.0;0.0;;;;1.947401789;86.70779;1.323112;0.005801928;1.0;-0.1710647;9.97772;Idle
1257;undamaged;03/12/14 00:29;Run5_1258..mat;V27HOJTEK_20141203_0020.blk;36.09132309;0.004154408;36.10936831;36.07099833;1;1;0.0;0.0;0.0;;;;1.875234653;38.51522;1.289495;0.005801928;1.0;-0.1765722;9.991747;Idle
1258;undamaged;03/12/14 00:34;Run5_1259..mat;V27HOJTEK_20141203_0030.blk;36.08799643;0.004692266;36.10789239;36.06780119;1;2;0.0;0.0;0.0;;;;2.381696635;39.41566;1.26342;0.005801928;1.0;-0.183677;9.976068;Idle
1259;undamaged;03/12/14 00:39;Run5_1260..mat;V27HOJTEK_20141203_0030.blk;36.08342863;0.004615243;36.10481762;36.06386631;1;1;0.0;0.0;0.0;;;;2.115263111;19.9641;1.253533;0.005801928;1.0;-0.1881116;9.981141;Idle
1260;undamaged;03/12/14 00:44;Run5_1261..mat;V27HOJTEK_20141203_0040.blk;36.08605348;0.004693517;36.10604752;36.06669449;1;1;0.0;0.0;0.0;;;;1.953311467;52.62301;1.236192;0.005801928;1.0;-0.189709;9.990476;Idle
1261;undamaged;03/12/14 00:49;Run5_1262..mat;V27HOJTEK_20141203_0040.blk;36.08339227;0.004280055;36.10371071;36.06349742;1;1;0.0;0.0;0.0;;;;1.177860681;18.42653;1.256554;0.005801928;1.0;-0.1909329;9.985025;Idle
1262;undamaged;03/12/14 00:54;Run5_1263..mat;V27HOJTEK_20141203_0050.blk;36.08445635;0.004692091;36.10407968;36.06263668;1;1;0.0;0.0;0.0;;;;2.066439392;51.42984;1.248098;0.005801928;1.0;-0.1909329;9.97249;Idle
1263;undamaged;03/12/14 00:59;Run5_1264..mat;V27HOJTEK_20141203_0050.blk;36.05487832;0.007909195;36.08882957;36.03054608;1;1;0.0;0.0;0.0;;;;1.347772737;89.36872;1.262188;0.005801928;1.0;-0.192276;9.946831;Idle
1264;undamaged;03/12/14 01:04;Run5_1265..mat;V27HOJTEK_20141203_0100.blk;36.08155034;0.003833772;36.09842224;36.06362038;1;1;0.0;0.0;0.0;;;;1.892728366;14.7092;1.244569;0.005739701;1.0;-0.1922919;10.03191;Idle
1265;undamaged;03/12/14 01:09;Run5_1266..mat;V27HOJTEK_20141203_0100.blk;36.0774404;0.004350736;36.09756134;36.05648863;1;1;0.0;0.0;0.0;;;;2.264260354;32.21626;1.261075;0.005801928;1.0;-0.1911316;10.02582;Idle
