;DamageScenario;Date;MATFileName;BLKName;PitchMean;PitchStd;PitchMax;PitchMin;ZrCr1;ZrCr2;RPM_DC1;RPM_DC2;RPM;DC1_az;DC2_az;AzPhase;Wind;WindDirection;Temperature;Precipitation;Generator;Power;Yaw;RPM_Class
4;undamaged;28/11/14 16:04;Run5_5..mat;PowerCurveDemo_20141128_1600.blk;-0.237375877;0.042714728;-0.145489023;-0.305775658;21;21;42.4523642;42.78512735;42.61874578;8.429886125;99.04921676;269.3806694;5.402124125;80.40548;2.934689;0.0;0.0;0.0;0.0;43 RPM
6;undamaged;28/11/14 16:14;Run5_7..mat;PowerCurveDemo_20141128_1610.blk;-0.003649081;0.114494413;0.297737774;-0.178956523;21;22;42.99328496;42.40019139;42.69673817;194.5309851;284.9114986;269.6194866;4.638638577;90.72064;2.861966;0.0;0.0;0.0;0.0;43 RPM
7;undamaged;28/11/14 16:19;Run5_8..mat;PowerCurveDemo_20141128_1610.blk;-0.217171312;0.057457792;-0.103496093;-0.321521826;21;21;42.83114551;42.73131543;42.78123047;82.72601315;172.5493405;270.1766726;6.656184632;80.85655;2.882867;0.0;0.0;0.0;0.0;43 RPM
8;undamaged;28/11/14 16:24;Run5_9..mat;PowerCurveDemo_20141128_1620.blk;-0.150078971;0.07340372;-0.04996726;-0.281331102;21;21;42.42118744;42.88084023;42.65101384;347.2160393;78.1725501;269.0434892;4.538354281;88.64162;2.944534;0.0;0.0;0.0;0.0;43 RPM
9;undamaged;28/11/14 16:29;Run5_10..mat;PowerCurveDemo_20141128_1620.blk;-0.200368192;0.033543594;-0.128654947;-0.262390316;21;21;42.81114754;42.41991023;42.61552888;263.2674555;353.0662541;270.2012014;3.934873366;90.5147;3.031556;0.0;0.0;0.0;0.0;43 RPM
10;undamaged;28/11/14 16:34;Run5_11..mat;PowerCurveDemo_20141128_1630.blk;-0.073873969;0.110775033;0.08536674;-0.237356733;21;21;42.93230884;42.61102899;42.77166892;210.7723188;300.671897;270.1004218;5.524813752;80.6675;3.061838;0.0;0.0;0.0;0.0;43 RPM
11;undamaged;28/11/14 16:39;Run5_12..mat;PowerCurveDemo_20141128_1630.blk;-0.257618317;0.045533062;-0.12701011;-0.33610688;21;21;42.60076231;42.68835174;42.64455703;126.5402113;217.4132965;269.1269147;3.821197062;87.77351;3.081171;0.0;0.0;0.0;0.0;43 RPM
12;undamaged;28/11/14 16:44;Run5_13..mat;PowerCurveDemo_20141128_1640.blk;-0.25440335;0.03984137;-0.108334752;-0.559485101;21;21;42.66545958;42.60143684;42.63344821;51.00894445;140.6419628;270.3669817;4.743802522;93.13857;3.119216;0.0;0.0;0.0;0.0;43 RPM
13;undamaged;28/11/14 16:49;Run5_14..mat;PowerCurveDemo_20141128_1640.blk;-0.196214772;0.061761714;-0.075621545;-0.29814332;21;21;42.73263627;42.68922848;42.71093238;282.8994197;13.24346617;269.6559535;5.090879477;91.32831;3.107711;0.0;0.0;0.0;0.0;43 RPM
14;undamaged;28/11/14 16:54;Run5_15..mat;PowerCurveDemo_20141128_1650.blk;-0.19279834;0.110487805;0.053771689;-0.294085419;21;21;42.79598776;42.376005;42.58599638;221.6929113;311.4701462;270.2227652;6.10422363;84.7467;3.096585;0.0;0.0;0.0;0.0;43 RPM
15;undamaged;28/11/14 16:59;Run5_16..mat;PowerCurveDemo_20141128_1650.blk;0.5438237;0.339740963;1.036954351;-0.008424519;22;20;43.58919097;43.17530087;43.38224592;124.5514701;215.3289446;269.2225256;5.317297637;84.728;3.08701;0.0;0.0;0.0;0.0;43 RPM
16;undamaged;28/11/14 17:04;Run5_17..mat;PowerCurveDemo_20141128_1700.blk;-0.167000504;0.077428505;0.01579129;-0.581751283;21;21;42.84074098;42.9246853;42.88271314;170.6622045;261.5383224;269.1238821;6.482423038;91.62387;3.170301;0.0;0.0;0.0;0.0;43 RPM
17;undamaged;28/11/14 17:09;Run5_18..mat;PowerCurveDemo_20141128_1700.blk;0.161008823;0.30136671;0.657860988;-0.302684138;22;21;43.24876741;42.91297262;43.08087002;63.72497797;153.3017329;270.4232451;4.776825055;88.95143;3.115901;0.0;0.0;0.0;0.0;43 RPM
18;undamaged;28/11/14 17:14;Run5_19..mat;PowerCurveDemo_20141128_1710.blk;0.426762448;0.176881638;0.690104429;0.099034703;22;21;43.1867224;42.97472418;43.08072329;36.02889197;125.8915619;270.1373301;8.237231185;79.90936;3.128306;0.0;0.0;0.0;0.0;43 RPM
19;undamaged;28/11/14 17:19;Run5_20..mat;PowerCurveDemo_20141128_1710.blk;-0.074835649;0.078525863;0.133550925;-0.224209548;21;21;42.7950502;42.8456679;42.82035905;19.89311539;110.0251548;269.8679606;6.897467686;82.24863;3.174511;0.0;0.0;0.0;0.0;43 RPM
20;undamaged;28/11/14 17:24;Run5_21..mat;PowerCurveDemo_20141128_1720.blk;-0.168315449;0.073787977;-0.018981055;-0.280461439;21;21;42.3753261;42.78458922;42.57995766;330.6239559;61.71467505;268.9092808;6.066821755;86.08286;3.109473;0.0;0.0;0.0;0.0;43 RPM
21;undamaged;28/11/14 17:29;Run5_22..mat;PowerCurveDemo_20141128_1720.blk;-0.080884201;0.063451976;0.027319762;-0.186209783;21;22;43.02696052;42.69080308;42.8588818;263.8174917;353.6983331;270.1191586;5.15377447;84.22672;3.025427;0.0;0.0;0.0;0.0;43 RPM
22;undamaged;28/11/14 17:34;Run5_23..mat;PowerCurveDemo_20141128_1730.blk;-0.197659257;0.024168191;-0.14336071;-0.237260068;21;21;42.73426737;42.77646811;42.75536774;171.7199532;262.6598753;269.0600779;4.804128555;89.86195;2.980972;0.0;0.0;0.0;0.0;43 RPM
23;undamaged;28/11/14 17:39;Run5_24..mat;PowerCurveDemo_20141128_1730.blk;-0.28440454;0.004252302;-0.264323189;-0.424930269;21;21;42.53880802;42.50801729;42.52341266;51.17859143;140.8247447;270.3538467;3.931906103;85.98418;2.90139;0.0;0.0;0.0;0.0;43 RPM
25;undamaged;28/11/14 17:49;Run5_26..mat;PowerCurveDemo_20141128_1740.blk;-0.220115045;0.064004591;-0.118688814;-0.505874634;21;21;42.81885529;42.40461203;42.61173366;258.7527789;348.434021;270.3187579;5.673799253;86.56726;2.873853;0.0;0.0;0.0;0.0;43 RPM
26;undamaged;28/11/14 17:54;Run5_27..mat;PowerCurveDemo_20141128_1750.blk;-0.246678658;0.060973199;-0.041930996;-0.5582319;21;21;42.64404296;42.76059573;42.70231935;144.4106053;235.487981;268.9226242;4.890477239;92.02231;2.878356;0.0;0.0;0.0;0.0;43 RPM
27;undamaged;28/11/14 17:59;Run5_28..mat;PowerCurveDemo_20141128_1750.blk;-0.144462193;0.062981519;0.023735158;-0.230976665;21;21;42.91019187;42.7959547;42.85307329;80.3179762;170.0647539;270.2532223;4.511853308;85.35207;2.898009;0.0;0.0;0.0;0.0;43 RPM
28;undamaged;28/11/14 18:04;Run5_29..mat;PowerCurveDemo_20141128_1800.blk;0.10053713;0.093521518;0.254922448;-0.093527828;21;21;42.69490784;42.87172916;42.7833185;295.8440116;26.5065967;269.3374149;5.78414093;76.19573;2.910767;0.0;0.0;0.0;0.0;43 RPM
30;undamaged;28/11/14 18:14;Run5_31..mat;PowerCurveDemo_20141128_1810.blk;-0.12400216;0.115457005;0.105917752;-0.279495139;21;21;42.42073794;42.82287096;42.62180445;356.0888545;86.93544529;269.1534092;4.235303391;86.7802;2.968499;0.0;0.0;0.0;0.0;43 RPM
31;undamaged;28/11/14 18:19;Run5_32..mat;PowerCurveDemo_20141128_1810.blk;0.094692845;0.16477329;0.299679879;-0.156903865;21;22;43.01788639;42.24211628;42.63000134;227.5915432;317.1411015;270.4504417;3.306964541;89.48993;3.007288;0.0;0.0;0.0;0.0;43 RPM
32;undamaged;28/11/14 18:24;Run5_33..mat;PowerCurveDemo_20141128_1820.blk;-0.223967293;0.065447812;-0.078138268;-0.298239935;21;21;42.79774109;42.68913609;42.74343859;73.44693512;163.0926291;270.354306;4.895325056;88.25796;3.031157;0.0;0.0;0.0;0.0;43 RPM
33;undamaged;28/11/14 18:29;Run5_34..mat;PowerCurveDemo_20141128_1820.blk;-0.222891323;0.050573973;-0.132815317;-0.297273781;21;21;42.48751016;42.72749017;42.60750016;295.7550344;26.37856085;269.3764736;5.809803562;84.14014;3.067972;0.0;0.0;0.0;0.0;43 RPM
34;undamaged;28/11/14 18:34;Run5_35..mat;PowerCurveDemo_20141128_1830.blk;-0.143123933;0.041115047;-0.054517673;-0.230396642;21;21;42.78803158;42.80690094;42.79746626;178.5282643;269.242275;269.2859893;4.942871235;91.7326;3.135246;0.0;0.0;0.0;0.0;43 RPM
35;undamaged;28/11/14 18:39;Run5_36..mat;PowerCurveDemo_20141128_1830.blk;0.035797692;0.262387173;0.520510133;-0.488320541;22;21;43.17498537;42.89248644;43.03373591;52.89493491;142.4429797;270.4519552;5.180387817;85.89707;3.124846;0.0;0.0;0.0;0.0;43 RPM
36;undamaged;28/11/14 18:44;Run5_37..mat;PowerCurveDemo_20141128_1840.blk;0.088161053;0.263735994;0.491813992;-0.29968915;22;22;42.97541568;43.39800505;43.18671036;339.6810424;70.68138083;268.9996616;3.601530784;93.9029;3.138717;0.0;0.0;0.0;0.0;43 RPM
37;undamaged;28/11/14 18:49;Run5_38..mat;PowerCurveDemo_20141128_1840.blk;-0.101867127;0.064941963;0.054256212;-0.227303136;21;21;42.40580993;42.90810998;42.65695995;328.0054857;59.13709009;268.8683956;4.693880686;82.25214;3.134662;0.0;0.0;0.0;0.0;43 RPM
38;undamaged;28/11/14 18:54;Run5_39..mat;PowerCurveDemo_20141128_1850.blk;0.060148681;0.39574062;0.644712842;-0.322970753;21;22;43.06433935;42.4576616;42.76100048;207.5287093;297.5316095;269.9970998;5.294442152;87.04955;3.185005;0.0;0.0;0.0;0.0;43 RPM
39;undamaged;28/11/14 18:59;Run5_40..mat;PowerCurveDemo_20141128_1850.blk;-0.146237814;0.039624094;-0.071168749;-0.236196746;21;21;42.68365958;42.74728397;42.71547178;167.6953207;258.7175714;268.9777493;3.864987647;89.75376;3.287861;0.0;0.0;0.0;0.0;43 RPM
