;DamageScenario;Date;MATFileName;BLKName;PitchMean;PitchStd;PitchMax;PitchMin;ZrCr1;ZrCr2;RPM_DC1;RPM_DC2;RPM;DC1_az;DC2_az;AzPhase;Wind;WindDirection;Temperature;Precipitation;Generator;Power;Yaw;RPM_Class
1;undamaged;28/11/14 15:49;Run5_2..mat;PowerCurveDemo_20141128_1540.blk;-0.225502461;0.066272667;-0.110947545;-0.657000744;21;21;42.31570007;42.59211064;42.45390535;341.1373039;72.27160987;268.8656941;4.2203677;89.50774;2.892069;0.0;0.0;0.0;0.0;43 RPM
2;undamaged;28/11/14 15:54;Run5_3..mat;PowerCurveDemo_20141128_1550.blk;-0.299239603;0.012054244;-0.271184632;-0.337845375;21;21;42.43905143;42.43404329;42.43654736;107.5109574;197.861974;269.6489834;5.291452653;78.96517;2.937873;0.0;0.0;0.0;0.0;43 RPM
3;undamaged;28/11/14 15:59;Run5_4..mat;PowerCurveDemo_20141128_1550.blk;-0.307209128;0.005948461;-0.287805057;-0.329925357;21;21;42.17654587;42.45777384;42.31715985;125.3262971;221.8264534;263.4998438;6.140598426;79.23046;2.956498;0.0;0.0;0.0;0.0;43 RPM
5;undamaged;28/11/14 16:09;Run5_6..mat;PowerCurveDemo_20141128_1600.blk;4.333767923;2.869936059;10.34146844;-1.146042448;17;17;33.91520078;33.85366408;33.88443243;221.6478922;310.9695457;270.6783465;3.314726719;92.99641;2.863748;0.0;0.0;0.0;0.0;T2
24;undamaged;28/11/14 17:44;Run5_25..mat;PowerCurveDemo_20141128_1740.blk;0.014015676;0.100108199;0.199120715;-0.137749517;22;22;42.12531201;42.82069748;42.47300475;296.2009181;26.80356993;269.3973482;5.387916775;83.97925;2.826284;0.0;0.0;0.0;0.0;43 RPM
29;undamaged;28/11/14 18:09;Run5_30..mat;PowerCurveDemo_20141128_1800.blk;-0.276817583;0.010111857;-0.237936722;-0.297467013;21;21;42.25081527;42.69824136;42.47452832;144.805496;241.3825069;263.4229892;3.182894139;87.81371;2.925433;0.0;0.0;0.0;0.0;43 RPM
41;undamaged;28/11/14 19:09;Run5_42..mat;PowerCurveDemo_20141128_1900.blk;-0.281469206;0.026410288;-0.122946294;-0.305196005;21;21;42.40982834;42.58058163;42.49520498;295.5488181;26.21490707;269.333911;4.67554786;83.46413;3.219601;0.0;0.0;0.0;0.0;43 RPM
52;undamaged;28/11/14 20:04;Run5_53..mat;PowerCurveDemo_20141128_2000.blk;-0.301570021;0.009435004;-0.280171549;-0.33562396;21;21;42.57414186;42.32426196;42.44920191;250.220515;339.9029695;270.3175455;3.663997432;91.50412;3.11611;0.0;0.0;0.0;0.0;43 RPM
64;undamaged;28/11/14 21:04;Run5_65..mat;PowerCurveDemo_20141128_2100.blk;-0.280923879;0.003485045;-0.240739961;-0.622224374;21;21;42.35790469;42.63578957;42.49684713;2.640227949;93.34225562;269.2979723;3.57663004;87.90132;3.150802;0.0;0.0;0.0;0.0;43 RPM
77;undamaged;28/11/14 22:09;Run5_78..mat;PowerCurveDemo_20141128_2200.blk;-0.255824106;0.027239398;-0.202262073;-0.299592536;21;21;42.30996001;42.53354479;42.4217524;355.3680661;86.16614468;269.2019215;4.54341678;85.05262;3.275307;0.0;0.0;0.0;0.0;43 RPM
79;undamaged;28/11/14 22:19;Run5_80..mat;PowerCurveDemo_20141128_2210.blk;-0.258209724;0.031991195;-0.15738752;-0.304036688;21;21;42.32890555;42.60160266;42.4652541;349.1754225;80.06247163;269.1129509;5.657427934;87.29305;3.283009;0.0;0.0;0.0;0.0;43 RPM
89;undamaged;28/11/14 23:09;Run5_90..mat;PowerCurveDemo_20141128_2300.blk;-0.209179438;0.045099033;-0.101850903;-0.378692581;21;21;42.58130412;42.31756544;42.44943478;222.9217697;312.6114239;270.3103458;3.531316884;93.13199;3.29082;0.0;0.0;0.0;0.0;43 RPM
92;undamaged;28/11/14 23:24;Run5_93..mat;PowerCurveDemo_20141128_2320.blk;-0.271464378;0.02211711;-0.211544325;-0.305389223;21;21;42.53569195;42.33467617;42.43518406;205.1254477;295.2691229;269.8563248;2.951723097;89.63606;3.321185;0.0;0.0;0.0;0.0;43 RPM
93;undamaged;28/11/14 23:29;Run5_94..mat;PowerCurveDemo_20141128_2320.blk;-0.246639065;0.089908937;0.019569405;-0.301911245;21;21;42.32603436;42.34736362;42.33669899;289.8188006;20.26160651;269.5571941;5.175087143;89.58195;3.392329;0.0;0.0;0.0;0.0;43 RPM
95;undamaged;28/11/14 23:39;Run5_96..mat;PowerCurveDemo_20141128_2330.blk;-0.276816819;0.011649223;-0.216088494;-0.469316713;21;21;42.53266112;42.31138554;42.42202333;213.0866377;302.9863926;270.1002451;4.393023363;98.00825;3.385203;0.0;0.0;0.0;0.0;43 RPM
100;undamaged;29/11/14 00:04;Run5_101..mat;PowerCurveDemo_20141129_0000.blk;-0.079127689;0.124535298;0.137623729;-0.27002498;21;21;42.38313129;42.5509083;42.4670198;299.8183955;30.56433356;269.2540619;5.09609566;91.60539;3.284388;0.0;0.0;0.0;0.0;43 RPM
101;undamaged;29/11/14 00:09;Run5_102..mat;PowerCurveDemo_20141129_0000.blk;-0.274758612;0.003710531;-0.259201005;-0.292732754;21;21;42.18077501;42.66571748;42.42324624;139.0407088;235.9583172;263.0823916;4.285278677;87.55514;3.218422;0.0;0.0;0.0;0.0;43 RPM
